Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus
A eu des enfants tôt et a atteint le nombre d'enfants souhaité/ É yawu jì vǐ bo ɖó kɛ́n e é ba é,"future_user: 10.2% 
 nonuser: 2.68% 
 past_user: 2.36% 
 user: 6.78%","future_user: 10 
 nonuser: 8 
 past_user: 3 
 user: 20","future_user: 4.5 
 nonuser: 2.3 
 past_user: 0.1 
 user: 47.4","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.05%",,Very high,driver,"16-20: 0.0% 
 21-30: 4.27% 
 31-45: 5.84%","16-20: 0 
 21-30: 14 
 31-45: 27","16-20: 0.0 
 21-30: 6.7 
 31-45: 47.6","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 1.3%",,31-45,"Femme Nyɔnu: 6.88% 
 Homme Sunnu: 3.16%","Femme Nyɔnu: 28 
 Homme Sunnu: 13","Femme Nyɔnu: 47.7 
 Homme Sunnu: 6.6","Femme Nyɔnu: 1.47% 
 Homme Sunnu: 0.73%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.43% 
 Semi-urbain: 7.0% 
 Urbain: 0.0%","Rural: 23 
 Semi-urbain: 18 
 Urbain: 0","Rural: 11.2 
 Semi-urbain: 43.0 
 Urbain: 0.0","Rural: 1.16% 
 Semi-urbain: 1.17% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
"Autres raisons non mentionnées ici, Veuillez préciser/ Hwɛjijɔ ɖevo e è ma ɖɔ ɖò fí ǎ lɛ é. Mi kɛnklɛn bo ɖɔ","future_user: 14.29% 
 nonuser: 8.03% 
 past_user: 10.24% 
 user: 3.73%","future_user: 14 
 nonuser: 24 
 past_user: 13 
 user: 11","future_user: 13.6 
 nonuser: 8.8 
 past_user: 2.0 
 user: 2.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 4.75%",,Low,driver,"16-20: 0.0% 
 21-30: 7.32% 
 31-45: 8.23%","16-20: 0 
 21-30: 24 
 31-45: 38","16-20: 0.0 
 21-30: 12.2 
 31-45: 15.0","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 2.38%",,"21-30, 31-45","Femme Nyɔnu: 6.14% 
 Homme Sunnu: 8.98%","Femme Nyɔnu: 25 
 Homme Sunnu: 37","Femme Nyɔnu: 3.6 
 Homme Sunnu: 23.6","Femme Nyɔnu: 1.23% 
 Homme Sunnu: 2.18%",,"Femme Nyɔnu, Homme Sunnu","Rural: 7.32% 
 Semi-urbain: 8.95% 
 Urbain: 2.33%","Rural: 38 
 Semi-urbain: 23 
 Urbain: 1","Rural: 8.2 
 Semi-urbain: 18.4 
 Urbain: 0.6","Rural: 0.96% 
 Semi-urbain: 3.5% 
 Urbain: 0.0%",,Semi-urbain
Avoir des relations intimes avec son conjoint : pimenter son mariage/ Kancica syɛnsyɛn ɖiɖó xá mɛ e a da é: hɛn alɔwliwli towe kpɔ́n te,"future_user: 1.02% 
 nonuser: 0.33% 
 past_user: 1.57% 
 user: 1.69%","future_user: 1 
 nonuser: 1 
 past_user: 2 
 user: 5","future_user: 0.0 
 nonuser: 3.4 
 past_user: 2.5 
 user: 4.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 2.13% 
 31-45: 0.43%","16-20: 0 
 21-30: 7 
 31-45: 2","16-20: 0.0 
 21-30: 6.4 
 31-45: 4.1","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,21-30,"Femme Nyɔnu: 2.21% 
 Homme Sunnu: 0.0%","Femme Nyɔnu: 9 
 Homme Sunnu: 0","Femme Nyɔnu: 10.4 
 Homme Sunnu: 0.0","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 1.35% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%","Rural: 7 
 Semi-urbain: 2 
 Urbain: 0","Rural: 10.0 
 Semi-urbain: 0.5 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
Avoir des relations intimes avec son conjoint : prévenir la promiscuité du mari/ Kancica syɛnsyɛn ɖiɖó xá mɛ e a da é: gló xóɖóxámɛ ɖò asú ɔ mɛ,"future_user: 1.02% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.02%","future_user: 1 
 nonuser: 0 
 past_user: 0 
 user: 3","future_user: 1.4 
 nonuser: 0.0 
 past_user: 0.0 
 user: 1.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.65%","16-20: 0 
 21-30: 1 
 31-45: 3","16-20: 0.0 
 21-30: 0.5 
 31-45: 2.7","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,31-45,"Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.49%","Femme Nyɔnu: 2 
 Homme Sunnu: 2","Femme Nyɔnu: 0.8 
 Homme Sunnu: 2.4","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,"Femme Nyɔnu, Homme Sunnu","Rural: 0.39% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%","Rural: 2 
 Semi-urbain: 2 
 Urbain: 0","Rural: 2.4 
 Semi-urbain: 0.8 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Semi-urbain
Avoir des relations intimes avec son conjoint : éviter les conflits conjugaux dus à l'abstinence/ Kancica syɛnsyɛn ɖiɖó xá mɛ e a da é: nyì alɔ nú tagba alɔwliwli tɔn lɛ ɖó mɛɖée zízé jó wutu,"future_user: 1.02% 
 nonuser: 0.0% 
 past_user: 2.36% 
 user: 3.05%","future_user: 1 
 nonuser: 0 
 past_user: 3 
 user: 9","future_user: 0.0 
 nonuser: 0.0 
 past_user: 1.7 
 user: 2.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.68%",,Low,driver,"16-20: 0.0% 
 21-30: 2.74% 
 31-45: 0.87%","16-20: 0 
 21-30: 9 
 31-45: 4","16-20: 0.0 
 21-30: 3.7 
 31-45: 0.5","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.22%",,21-30,"Femme Nyɔnu: 2.95% 
 Homme Sunnu: 0.24%","Femme Nyɔnu: 12 
 Homme Sunnu: 1","Femme Nyɔnu: 2.7 
 Homme Sunnu: 1.5","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 1.73% 
 Semi-urbain: 0.78% 
 Urbain: 4.65%","Rural: 9 
 Semi-urbain: 2 
 Urbain: 2","Rural: 0.8 
 Semi-urbain: 0.5 
 Urbain: 3.0","Rural: 0.39% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,"Rural, Urbain"
Bonne santé de la mère : apparence plus saine et plus fraîche/ Nɔ lɛ sín lanmɛ na nɔ ganji: lanmɛ na nɔ ganji kpo ɖiɖe yɔyɔ̌ kpo,"future_user: 5.1% 
 nonuser: 1.34% 
 past_user: 5.51% 
 user: 5.76%","future_user: 5 
 nonuser: 4 
 past_user: 7 
 user: 17","future_user: 10.4 
 nonuser: 5.4 
 past_user: 2.6 
 user: 17.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.39%",,Low,driver,"16-20: 6.9% 
 21-30: 4.27% 
 31-45: 3.68%","16-20: 2 
 21-30: 14 
 31-45: 17","16-20: 9.3 
 21-30: 9.1 
 31-45: 17.0","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 1.52%",,"16-20, 31-45","Femme Nyɔnu: 2.95% 
 Homme Sunnu: 5.1%","Femme Nyɔnu: 12 
 Homme Sunnu: 21","Femme Nyɔnu: 26.4 
 Homme Sunnu: 9.0","Femme Nyɔnu: 1.23% 
 Homme Sunnu: 1.21%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.82% 
 Semi-urbain: 3.11% 
 Urbain: 0.0%","Rural: 25 
 Semi-urbain: 8 
 Urbain: 0","Rural: 10.9 
 Semi-urbain: 24.6 
 Urbain: 0.0","Rural: 1.16% 
 Semi-urbain: 1.56% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Bonne santé de la mère : augmentation de la force physique grâce à des intervalles plus longs entre les grossesses/ Nɔ lɛ sín lanmɛ ɖagbe: agbaza sín hlɔnhlɔn nɔ jɛji ɖó hwenu e nɔ lín ɖò xo lɛ tɛntin é wu,"future_user: 8.16% 
 nonuser: 1.34% 
 past_user: 9.45% 
 user: 16.95%","future_user: 8 
 nonuser: 4 
 past_user: 12 
 user: 50","future_user: 0.3 
 nonuser: 4.4 
 past_user: 13.3 
 user: 87.7","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.47%",,Very high,driver,"16-20: 10.34% 
 21-30: 8.54% 
 31-45: 9.31%","16-20: 3 
 21-30: 28 
 31-45: 43","16-20: 0.2 
 21-30: 11.4 
 31-45: 94.2","16-20: 3.45% 
 21-30: 2.13% 
 31-45: 3.68%",,"16-20, 21-30, 31-45","Femme Nyɔnu: 8.11% 
 Homme Sunnu: 9.95%","Femme Nyɔnu: 33 
 Homme Sunnu: 41","Femme Nyɔnu: 64.6 
 Homme Sunnu: 41.2","Femme Nyɔnu: 2.46% 
 Homme Sunnu: 3.64%",,"Femme Nyɔnu, Homme Sunnu","Rural: 8.67% 
 Semi-urbain: 10.89% 
 Urbain: 2.33%","Rural: 45 
 Semi-urbain: 28 
 Urbain: 1","Rural: 11.8 
 Semi-urbain: 92.6 
 Urbain: 1.4","Rural: 2.7% 
 Semi-urbain: 4.28% 
 Urbain: 0.0%",,Semi-urbain
Bonne santé de la mère : éviter les problèmes de santé majeurs pendant la grossesse et l'accouchement/ Nɔ lɛ sín lanmɛ na nɔ ganji: è ni nyì alɔ nú lanmɛ na nɔ ganji sín tagba ɖaxó lɛ ɖò xomɛ kpo vǐjiji kpo hwenu,"future_user: 3.06% 
 nonuser: 1.67% 
 past_user: 3.94% 
 user: 7.12%","future_user: 3 
 nonuser: 5 
 past_user: 5 
 user: 21","future_user: 2.6 
 nonuser: 2.0 
 past_user: 1.8 
 user: 17.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.39%",,Low,driver,"16-20: 6.9% 
 21-30: 3.66% 
 31-45: 4.33%","16-20: 2 
 21-30: 12 
 31-45: 20","16-20: 0.3 
 21-30: 4.7 
 31-45: 18.5","16-20: 3.45% 
 21-30: 0.61% 
 31-45: 1.52%",,16-20,"Femme Nyɔnu: 2.21% 
 Homme Sunnu: 6.07%","Femme Nyɔnu: 9 
 Homme Sunnu: 25","Femme Nyɔnu: 10.6 
 Homme Sunnu: 12.8","Femme Nyɔnu: 1.23% 
 Homme Sunnu: 1.21%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.43% 
 Semi-urbain: 3.89% 
 Urbain: 2.33%","Rural: 23 
 Semi-urbain: 10 
 Urbain: 1","Rural: 6.1 
 Semi-urbain: 15.9 
 Urbain: 1.5","Rural: 1.35% 
 Semi-urbain: 1.17% 
 Urbain: 0.0%",,Rural
Bonne santé des enfants/ Lanmɛ na nɔ ganji nu vi lɛ,"future_user: 6.12% 
 nonuser: 1.0% 
 past_user: 12.6% 
 user: 24.07%","future_user: 6 
 nonuser: 3 
 past_user: 16 
 user: 71","future_user: 0.9 
 nonuser: 6.1 
 past_user: 12.3 
 user: 60.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 10.17%",,High,driver,"16-20: 17.24% 
 21-30: 9.45% 
 31-45: 12.99%","16-20: 5 
 21-30: 31 
 31-45: 60","16-20: 6.1 
 21-30: 14.8 
 31-45: 59.3","16-20: 3.45% 
 21-30: 1.83% 
 31-45: 4.98%",,"16-20, 31-45","Femme Nyɔnu: 6.14% 
 Homme Sunnu: 17.23%","Femme Nyɔnu: 25 
 Homme Sunnu: 71","Femme Nyɔnu: 21.9 
 Homme Sunnu: 58.3","Femme Nyɔnu: 0.98% 
 Homme Sunnu: 6.31%",,Homme Sunnu,"Rural: 11.95% 
 Semi-urbain: 12.84% 
 Urbain: 2.33%","Rural: 62 
 Semi-urbain: 33 
 Urbain: 1","Rural: 37.7 
 Semi-urbain: 41.1 
 Urbain: 1.5","Rural: 3.08% 
 Semi-urbain: 5.45% 
 Urbain: 0.0%",,Semi-urbain
Bonne santé du père : le père évite de s'épuiser à force de tâches ménagères lorsque la mère est occupée à s'occuper des bébés ou qu'elle est trop fatiguée/ Tɔ́ ɔ sín lanmɛ ɖagbe: tɔ́ ɔ nɔ nyì alɔ nú nǔcikɔ nú éɖée kpo xwégbezɔ́ lɛ kpo hwenu e nɔ ɔ sín alɔ nɔ vo ɖò vǐ kpɛví lɛ kpinkpɔn mɛ é alǒ hwenu e nǔ cikɔ n’i dín é,"future_user: 2.04% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 1.36%","future_user: 2 
 nonuser: 1 
 past_user: 0 
 user: 4","future_user: 2.7 
 nonuser: 1.5 
 past_user: 0.0 
 user: 3.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 1.08%","16-20: 0 
 21-30: 2 
 31-45: 5","16-20: 0.0 
 21-30: 2.4 
 31-45: 5.0","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,31-45,"Femme Nyɔnu: 0.0% 
 Homme Sunnu: 1.7%","Femme Nyɔnu: 0 
 Homme Sunnu: 7","Femme Nyɔnu: 0.0 
 Homme Sunnu: 7.4","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Homme Sunnu,"Rural: 1.16% 
 Semi-urbain: 0.0% 
 Urbain: 2.33%","Rural: 6 
 Semi-urbain: 0 
 Urbain: 1","Rural: 5.9 
 Semi-urbain: 0.0 
 Urbain: 1.5","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Urbain
