Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus,REGION: Prevalence (All),REGION: N (All),REGION: Weighted N (All),REGION: Prevalence (Most important driver/barrier),REGION: Statements,REGION Focus
A eu des enfants tôt et a atteint le nombre d'enfants souhaité/ É yawu jì vǐ bo ɖó kɛ́n e é ba é,"future_user: 10.2% 
 nonuser: 2.65% 
 past_user: 2.34% 
 user: 7.02%","future_user: 10 
 nonuser: 8 
 past_user: 3 
 user: 21","future_user: 4.8 
 nonuser: 2.1 
 past_user: 0.1 
 user: 57.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.01%",,Very high,driver,"16-20: 0.0% 
 21-30: 4.24% 
 31-45: 5.98%","16-20: 0 
 21-30: 14 
 31-45: 28","16-20: 0.0 
 21-30: 6.2 
 31-45: 58.6","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 1.28%",,31-45,"Femme Nyɔnu: 7.06% 
 Homme Sunnu: 3.12%","Femme Nyɔnu: 29 
 Homme Sunnu: 13","Femme Nyɔnu: 56.7 
 Homme Sunnu: 8.0","Femme Nyɔnu: 1.46% 
 Homme Sunnu: 0.72%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.58% 
 Semi-urbain: 6.92% 
 Urbain: 0.0%","Rural: 24 
 Semi-urbain: 18 
 Urbain: 0","Rural: 13.2 
 Semi-urbain: 51.6 
 Urbain: 0.0","Rural: 1.15% 
 Semi-urbain: 1.15% 
 Urbain: 0.0%",,"Rural, Semi-urbain","Mid-South: 8.61% 
 North-East: 0.63% 
 North-West: 2.0% 
 South-South: 5.38%","Mid-South: 18 
 North-East: 1 
 North-West: 1 
 South-South: 22","Mid-South: 44.3 
 North-East: 0.8 
 North-West: 6.5 
 South-South: 13.2","Mid-South: 0.96% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 1.71%",,"Mid-South, South-South"
"Autres raisons non mentionnées ici, Veuillez préciser/ Hwɛjijɔ ɖevo e è ma ɖɔ ɖò fí ǎ lɛ é. Mi kɛnklɛn bo ɖɔ","future_user: 14.29% 
 nonuser: 7.95% 
 past_user: 10.94% 
 user: 3.68%","future_user: 14 
 nonuser: 24 
 past_user: 14 
 user: 11","future_user: 12.7 
 nonuser: 7.8 
 past_user: 2.3 
 user: 3.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 4.68%",,Low,driver,"16-20: 0.0% 
 21-30: 7.27% 
 31-45: 8.33%","16-20: 0 
 21-30: 24 
 31-45: 39","16-20: 0.0 
 21-30: 11.5 
 31-45: 14.3","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 2.35%",,"21-30, 31-45","Femme Nyɔnu: 6.08% 
 Homme Sunnu: 9.13%","Femme Nyɔnu: 25 
 Homme Sunnu: 38","Femme Nyɔnu: 3.7 
 Homme Sunnu: 22.2","Femme Nyɔnu: 1.22% 
 Homme Sunnu: 2.16%",,"Femme Nyɔnu, Homme Sunnu","Rural: 7.44% 
 Semi-urbain: 8.85% 
 Urbain: 2.33%","Rural: 39 
 Semi-urbain: 23 
 Urbain: 1","Rural: 8.1 
 Semi-urbain: 16.8 
 Urbain: 0.8","Rural: 0.95% 
 Semi-urbain: 3.46% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 1.91% 
 North-East: 0.0% 
 North-West: 2.0% 
 South-South: 14.18%","Mid-South: 4 
 North-East: 0 
 North-West: 1 
 South-South: 58","Mid-South: 0.2 
 North-East: 0.0 
 North-West: 1.1 
 South-South: 24.5","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 3.42%",,South-South
Avoir des relations intimes avec son conjoint : pimenter son mariage/ Kancica syɛnsyɛn ɖiɖó xá mɛ e a da é: hɛn alɔwliwli towe kpɔ́n te,"future_user: 1.02% 
 nonuser: 0.33% 
 past_user: 1.56% 
 user: 1.67%","future_user: 1 
 nonuser: 1 
 past_user: 2 
 user: 5","future_user: 0.0 
 nonuser: 4.5 
 past_user: 2.2 
 user: 4.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 2.12% 
 31-45: 0.43%","16-20: 0 
 21-30: 7 
 31-45: 2","16-20: 0.0 
 21-30: 7.1 
 31-45: 3.6","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,21-30,"Femme Nyɔnu: 2.19% 
 Homme Sunnu: 0.0%","Femme Nyɔnu: 9 
 Homme Sunnu: 0","Femme Nyɔnu: 10.7 
 Homme Sunnu: 0.0","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 1.34% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Rural: 7 
 Semi-urbain: 2 
 Urbain: 0","Rural: 10.3 
 Semi-urbain: 0.4 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural,"Mid-South: 1.44% 
 North-East: 0.63% 
 North-West: 6.0% 
 South-South: 0.49%","Mid-South: 3 
 North-East: 1 
 North-West: 3 
 South-South: 2","Mid-South: 0.0 
 North-East: 0.9 
 North-West: 9.1 
 South-South: 0.7","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%",,North-West
Avoir des relations intimes avec son conjoint : prévenir la promiscuité du mari/ Kancica syɛnsyɛn ɖiɖó xá mɛ e a da é: gló xóɖóxámɛ ɖò asú ɔ mɛ,"future_user: 1.02% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.0%","future_user: 1 
 nonuser: 0 
 past_user: 0 
 user: 3","future_user: 1.2 
 nonuser: 0.0 
 past_user: 0.0 
 user: 1.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.64%","16-20: 0 
 21-30: 1 
 31-45: 3","16-20: 0.0 
 21-30: 0.4 
 31-45: 2.4","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,31-45,"Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.48%","Femme Nyɔnu: 2 
 Homme Sunnu: 2","Femme Nyɔnu: 0.7 
 Homme Sunnu: 2.1","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,"Femme Nyɔnu, Homme Sunnu","Rural: 0.38% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Rural: 2 
 Semi-urbain: 2 
 Urbain: 0","Rural: 2.1 
 Semi-urbain: 0.7 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 0.0% 
 North-East: 1.26% 
 North-West: 0.0% 
 South-South: 0.49%","Mid-South: 0 
 North-East: 2 
 North-West: 0 
 South-South: 2","Mid-South: 0.0 
 North-East: 2.1 
 North-West: 0.0 
 South-South: 0.7","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%",,North-East
Avoir des relations intimes avec son conjoint : éviter les conflits conjugaux dus à l'abstinence/ Kancica syɛnsyɛn ɖiɖó xá mɛ e a da é: nyì alɔ nú tagba alɔwliwli tɔn lɛ ɖó mɛɖée zízé jó wutu,"future_user: 1.02% 
 nonuser: 0.0% 
 past_user: 2.34% 
 user: 3.01%","future_user: 1 
 nonuser: 0 
 past_user: 3 
 user: 9","future_user: 0.0 
 nonuser: 0.0 
 past_user: 1.5 
 user: 2.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.67%",,Low,driver,"16-20: 0.0% 
 21-30: 2.73% 
 31-45: 0.85%","16-20: 0 
 21-30: 9 
 31-45: 4","16-20: 0.0 
 21-30: 3.3 
 31-45: 0.4","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.21%",,21-30,"Femme Nyɔnu: 2.92% 
 Homme Sunnu: 0.24%","Femme Nyɔnu: 12 
 Homme Sunnu: 1","Femme Nyɔnu: 2.4 
 Homme Sunnu: 1.3","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 1.72% 
 Semi-urbain: 0.77% 
 Urbain: 4.65%","Rural: 9 
 Semi-urbain: 2 
 Urbain: 2","Rural: 0.7 
 Semi-urbain: 0.4 
 Urbain: 2.6","Rural: 0.38% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,"Rural, Urbain","Mid-South: 1.44% 
 North-East: 1.26% 
 North-West: 0.0% 
 South-South: 1.96%","Mid-South: 3 
 North-East: 2 
 North-West: 0 
 South-South: 8","Mid-South: 0.0 
 North-East: 2.6 
 North-West: 0.0 
 South-South: 1.1","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.49%",,South-South
Bonne santé de la mère : apparence plus saine et plus fraîche/ Nɔ lɛ sín lanmɛ na nɔ ganji: lanmɛ na nɔ ganji kpo ɖiɖe yɔyɔ̌ kpo,"future_user: 5.1% 
 nonuser: 1.32% 
 past_user: 5.47% 
 user: 6.02%","future_user: 5 
 nonuser: 4 
 past_user: 7 
 user: 18","future_user: 12.1 
 nonuser: 4.7 
 past_user: 2.4 
 user: 19.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.34%",,Low,driver,"16-20: 6.9% 
 21-30: 4.24% 
 31-45: 3.85%","16-20: 2 
 21-30: 14 
 31-45: 18","16-20: 11.0 
 21-30: 8.1 
 31-45: 19.3","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 1.5%",,"16-20, 31-45","Femme Nyɔnu: 2.92% 
 Homme Sunnu: 5.29%","Femme Nyɔnu: 12 
 Homme Sunnu: 22","Femme Nyɔnu: 28.9 
 Homme Sunnu: 9.5","Femme Nyɔnu: 1.22% 
 Homme Sunnu: 1.2%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.96% 
 Semi-urbain: 3.08% 
 Urbain: 0.0%","Rural: 26 
 Semi-urbain: 8 
 Urbain: 0","Rural: 10.4 
 Semi-urbain: 27.9 
 Urbain: 0.0","Rural: 1.15% 
 Semi-urbain: 1.54% 
 Urbain: 0.0%",,"Rural, Semi-urbain","Mid-South: 4.78% 
 North-East: 0.63% 
 North-West: 2.0% 
 South-South: 5.38%","Mid-South: 10 
 North-East: 1 
 North-West: 1 
 South-South: 22","Mid-South: 22.2 
 North-East: 0.9 
 North-West: 4.5 
 South-South: 10.8","Mid-South: 0.48% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 2.2%",,"Mid-South, South-South"
Bonne santé de la mère : augmentation de la force physique grâce à des intervalles plus longs entre les grossesses/ Nɔ lɛ sín lanmɛ ɖagbe: agbaza sín hlɔnhlɔn nɔ jɛji ɖó hwenu e nɔ lín ɖò xo lɛ tɛntin é wu,"future_user: 8.16% 
 nonuser: 1.32% 
 past_user: 9.38% 
 user: 17.06%","future_user: 8 
 nonuser: 4 
 past_user: 12 
 user: 51","future_user: 0.4 
 nonuser: 5.4 
 past_user: 14.6 
 user: 101.7","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.36%",,Very high,driver,"16-20: 10.34% 
 21-30: 8.79% 
 31-45: 9.19%","16-20: 3 
 21-30: 29 
 31-45: 43","16-20: 0.2 
 21-30: 12.9 
 31-45: 109.0","16-20: 3.45% 
 21-30: 2.12% 
 31-45: 3.63%",,"16-20, 21-30, 31-45","Femme Nyɔnu: 8.27% 
 Homme Sunnu: 9.86%","Femme Nyɔnu: 34 
 Homme Sunnu: 41","Femme Nyɔnu: 76.5 
 Homme Sunnu: 45.7","Femme Nyɔnu: 2.43% 
 Homme Sunnu: 3.61%",,"Femme Nyɔnu, Homme Sunnu","Rural: 8.78% 
 Semi-urbain: 10.77% 
 Urbain: 2.33%","Rural: 46 
 Semi-urbain: 28 
 Urbain: 1","Rural: 13.5 
 Semi-urbain: 107.4 
 Urbain: 1.2","Rural: 2.67% 
 Semi-urbain: 4.23% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 16.75% 
 North-East: 2.52% 
 North-West: 2.0% 
 South-South: 8.56%","Mid-South: 35 
 North-East: 4 
 North-West: 1 
 South-South: 35","Mid-South: 99.4 
 North-East: 3.6 
 North-West: 4.5 
 South-South: 14.7","Mid-South: 6.22% 
 North-East: 0.63% 
 North-West: 2.0% 
 South-South: 2.44%",,Mid-South
Bonne santé de la mère : éviter les problèmes de santé majeurs pendant la grossesse et l'accouchement/ Nɔ lɛ sín lanmɛ na nɔ ganji: è ni nyì alɔ nú lanmɛ na nɔ ganji sín tagba ɖaxó lɛ ɖò xomɛ kpo vǐjiji kpo hwenu,"future_user: 3.06% 
 nonuser: 1.66% 
 past_user: 3.91% 
 user: 7.36%","future_user: 3 
 nonuser: 5 
 past_user: 5 
 user: 22","future_user: 2.3 
 nonuser: 1.8 
 past_user: 1.8 
 user: 20.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.34%",,Low,driver,"16-20: 6.9% 
 21-30: 3.94% 
 31-45: 4.27%","16-20: 2 
 21-30: 13 
 31-45: 20","16-20: 0.2 
 21-30: 5.5 
 31-45: 20.2","16-20: 3.45% 
 21-30: 0.61% 
 31-45: 1.5%",,16-20,"Femme Nyɔnu: 2.43% 
 Homme Sunnu: 6.01%","Femme Nyɔnu: 10 
 Homme Sunnu: 25","Femme Nyɔnu: 13.3 
 Homme Sunnu: 12.5","Femme Nyɔnu: 1.22% 
 Homme Sunnu: 1.2%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.58% 
 Semi-urbain: 3.85% 
 Urbain: 2.33%","Rural: 24 
 Semi-urbain: 10 
 Urbain: 1","Rural: 6.8 
 Semi-urbain: 17.7 
 Urbain: 1.3","Rural: 1.34% 
 Semi-urbain: 1.15% 
 Urbain: 0.0%",,Rural,"Mid-South: 4.31% 
 North-East: 2.52% 
 North-West: 0.0% 
 South-South: 5.38%","Mid-South: 9 
 North-East: 4 
 North-West: 0 
 South-South: 22","Mid-South: 11.2 
 North-East: 4.1 
 North-West: 0.0 
 South-South: 10.6","Mid-South: 1.91% 
 North-East: 0.0% 
 North-West: 2.0% 
 South-South: 1.22%",,"Mid-South, North-West, South-South"
Bonne santé des enfants/ Lanmɛ na nɔ ganji nu vi lɛ,"future_user: 6.12% 
 nonuser: 0.99% 
 past_user: 12.5% 
 user: 24.75%","future_user: 6 
 nonuser: 3 
 past_user: 16 
 user: 74","future_user: 0.9 
 nonuser: 5.4 
 past_user: 14.2 
 user: 62.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 10.03%",,Medium,driver,"16-20: 17.24% 
 21-30: 10.0% 
 31-45: 13.03%","16-20: 5 
 21-30: 33 
 31-45: 61","16-20: 5.4 
 21-30: 15.3 
 31-45: 61.9","16-20: 3.45% 
 21-30: 1.82% 
 31-45: 4.91%",,31-45,"Femme Nyɔnu: 6.57% 
 Homme Sunnu: 17.31%","Femme Nyɔnu: 27 
 Homme Sunnu: 72","Femme Nyɔnu: 20.0 
 Homme Sunnu: 62.6","Femme Nyɔnu: 0.97% 
 Homme Sunnu: 6.25%",,Homme Sunnu,"Rural: 12.21% 
 Semi-urbain: 13.08% 
 Urbain: 2.33%","Rural: 64 
 Semi-urbain: 34 
 Urbain: 1","Rural: 34.7 
 Semi-urbain: 46.6 
 Urbain: 1.3","Rural: 3.05% 
 Semi-urbain: 5.38% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 11.48% 
 North-East: 5.66% 
 North-West: 10.0% 
 South-South: 14.91%","Mid-South: 24 
 North-East: 9 
 North-West: 5 
 South-South: 61","Mid-South: 33.5 
 North-East: 9.7 
 North-West: 13.7 
 South-South: 25.7","Mid-South: 6.7% 
 North-East: 0.0% 
 North-West: 2.0% 
 South-South: 3.67%",,"Mid-South, South-South"
Bonne santé du père : le père évite de s'épuiser à force de tâches ménagères lorsque la mère est occupée à s'occuper des bébés ou qu'elle est trop fatiguée/ Tɔ́ ɔ sín lanmɛ ɖagbe: tɔ́ ɔ nɔ nyì alɔ nú nǔcikɔ nú éɖée kpo xwégbezɔ́ lɛ kpo hwenu e nɔ ɔ sín alɔ nɔ vo ɖò vǐ kpɛví lɛ kpinkpɔn mɛ é alǒ hwenu e nǔ cikɔ n’i dín é,"future_user: 2.04% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 1.34%","future_user: 2 
 nonuser: 1 
 past_user: 0 
 user: 4","future_user: 2.4 
 nonuser: 1.3 
 past_user: 0.0 
 user: 2.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 1.07%","16-20: 0 
 21-30: 2 
 31-45: 5","16-20: 0.0 
 21-30: 2.1 
 31-45: 4.5","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,31-45,"Femme Nyɔnu: 0.0% 
 Homme Sunnu: 1.68%","Femme Nyɔnu: 0 
 Homme Sunnu: 7","Femme Nyɔnu: 0.0 
 Homme Sunnu: 6.6","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Homme Sunnu,"Rural: 1.15% 
 Semi-urbain: 0.0% 
 Urbain: 2.33%","Rural: 6 
 Semi-urbain: 0 
 Urbain: 1","Rural: 5.3 
 Semi-urbain: 0.0 
 Urbain: 1.3","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Urbain,"Mid-South: 0.0% 
 North-East: 3.77% 
 North-West: 0.0% 
 South-South: 0.24%","Mid-South: 0 
 North-East: 6 
 North-West: 0 
 South-South: 1","Mid-South: 0.0 
 North-East: 6.3 
 North-West: 0.0 
 South-South: 0.2","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%",,North-East
