,split,group,aware,ever_used,current_use
0,use,all,0.8056249853626687,0.5542654601522532,0.2969270945538173
1,use,past_user,0.9982027397408251,1.0,0.0
2,use,nonuser,0.5479932961780757,0.0,0.0
3,use,user,0.9696646540407379,1.0,1.0
4,use,future_user,0.7310572803145382,0.0,0.0
5,gender,all,0.8056249853626687,0.5542654601522532,0.2969270945538173
6,gender,Homme Sunnu,0.8065591207595196,0.5132381200149384,0.30327165613733326
7,gender,Femme Nyɔnu,0.8047763125236083,0.5915392743667891,0.29116298679189173
8,age_group,all,0.8056249853626687,0.5542654601522532,0.2969270945538173
9,age_group,31-45,0.8798304401232815,0.6454097369829466,0.3295986241273689
10,age_group,21-30,0.6815624407883579,0.40516597901638124,0.23942017925249848
11,age_group,16-20,0.5866521538506241,0.2625456988025744,0.2205146218051061
