,method,proportion,method_type,split,group,label
0,Injectables,0.6616884877522332,known,none,all,
1,Implants,0.6122221333996685,known,none,all,
2,Pilules contraceptives orales,0.3318084022302655,known,none,all,
3,Préservatifs,0.2943127093850685,known,none,all,
4,Dispositifs intra-utérins DIU (aussi appelés “stérilets”),0.17485975196830725,known,none,all,
5,Pilules contraceptives d'urgence,0.1038338345633264,known,none,all,
6,Abstinence,0.07573266904197574,known,none,all,
7,Méthode des jours fixes (collier de perles),0.07538584683775469,known,none,all,
8,Retrait,0.06078427603801212,known,none,all,
9,Méthode du calendrier (aussi appelée “méthode Ogino”),0.049515162617182924,known,none,all,
10,Autre : veuillez préciser,0.0457562026258418,known,none,all,
11,Stérilisation,0.031653951649560204,known,none,all,
12,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”),0.021790151143786223,known,none,all,
13,Anneau vaginal,0.018792334756586548,known,none,all,
14,Je ne sais pas,0.006732167736456791,known,none,all,
15,Patch contraceptif,0.0037344554819201303,known,none,all,
16,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)",0.00339231946984067,known,none,all,
17,Je préfère ne pas répondre,0.0011553045875487005,known,none,all,
18,,0.06819516022227075,known,use,future_user,Abstinence
19,,0.018299333470667783,known,use,future_user,Anneau vaginal
20,,0.0006458006734854504,known,use,future_user,Autre : veuillez préciser
21,,0.18813592521100683,known,use,future_user,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
22,,0.5849467135054222,known,use,future_user,Implants
23,,0.5049085794425394,known,use,future_user,Injectables
24,,0.0017951852011621062,known,use,future_user,Je ne sais pas
25,,0.0,known,use,future_user,Je préfère ne pas répondre
26,,0.003340514891330998,known,use,future_user,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
27,,0.027166280478569615,known,use,future_user,Méthode des jours fixes (collier de perles)
28,,0.1230622271732948,known,use,future_user,Méthode du calendrier (aussi appelée “méthode Ogino”)
