,Reason,Unweighted count
0,A cause des effets secondaires,9
1,Je suis enceinte,8
2,Ignorance,8
3,Manque de volonté,7
4,À cause des effets secondaires,6
5,J'étais enceinte,6
6,Par peur des effets secondaires.,5
7,Je ne tombe pas vite enceinte,4
8,Je n'aime pas,4
9,Je ne connais pas,3
10,Par ignorance,3
11,Effets secondaires,2
12,La peur,2
13,Par peur des effets secondaires,2
14,Je suis nourrice,2
15,J'allaite,2
16,Ça ne m'intéresse pas,2
17,"J'ai un problème de fertilité, je ne tombe pas vite enceinte",2
18,Difficulté de conception,2
19,Je ne sais pas,2
