,label,proportion,split,group
0,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.3826701222854321,none,all
1,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.3018518938890538,none,all
2,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.12972922373253118,none,all
3,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.07016878804279741,none,all
4,Je ne sais pas/ Un tuun a,0.04016989683652995,none,all
5,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.03650501573699265,none,all
6,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.020060427596323472,none,all
7,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.018844631880339465,none,all
8,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.06950736696982839,use,future_user
9,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.05940295061869533,use,future_user
10,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.006228415970773112,use,future_user
11,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.18819073570142436,use,future_user
12,Je ne sais pas/ Un tuun a,0.0496794654002738,use,future_user
13,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.003590370402324213,use,future_user
14,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.07654545155471877,use,future_user
15,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.5468552433819622,use,future_user
16,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.15434075090203644,use,nonuser
17,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.039688390099038275,use,nonuser
18,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.010123134094623511,use,nonuser
19,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.18996565089152562,use,nonuser
20,Je ne sais pas/ Un tuun a,0.04079475750182058,use,nonuser
21,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.0213343985362937,use,nonuser
22,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.08875171714116727,use,nonuser
23,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.4550012008334945,use,nonuser
24,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.030740067939891202,use,past_user
25,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.011939211852657597,use,past_user
26,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.040660322023694406,use,past_user
