,label,proportion,split,group,question
0,Préfère ne pas répondre,0.0036275695284159614,none,all,single
1,Je ne sais pas,0.0,none,all,single
2,Autre,0.0471584038694075,none,all,single
3,Mon mari,0.21765417170495768,none,all,single
4,Ma femme,0.04836759371221282,none,all,single
5,Amis,0.02539298669891173,none,all,single
6,Sœurs,0.02781136638452237,none,all,single
7,Beaux-parents,0.022974607013301087,none,all,single
8,Mère,0.13905683192261184,none,all,single
9,Père,0.06408706166868199,none,all,single
10,Frères,0.041112454655380895,none,all,single
11,Autorités gouvernementales,0.0024183796856106408,none,all,single
12,Membre de ma famille,0.02176541717049577,none,all,single
13,Voisins,0.0036275695284159614,none,all,single
14,Personnel de santé,0.19951632406287786,none,all,single
15,Chefs religieux,0.015719467956469165,none,all,single
16,Dirigeants,0.0012091898428053204,none,all,single
17,Moi-même,0.04353083434099154,none,all,single
18,Mes enfants,0.008464328899637243,none,all,single
19,"La divinité (Dieu, Jésus, le Prophète…)",0.06650544135429262,none,all,single
20,Radio,0.0,none,all,single
21,Médias,0.0,none,all,single
22,Préfère ne pas répondre,0.01020408163265306,use,future_user,single
23,Préfère ne pas répondre,0.006622516556291391,use,nonuser,single
24,Préfère ne pas répondre,0.0,use,past_user,single
25,Préfère ne pas répondre,0.0,use,user,single
26,Je ne sais pas,0.0,use,future_user,single
27,Je ne sais pas,0.0,use,nonuser,single
28,Je ne sais pas,0.0,use,past_user,single
29,Je ne sais pas,0.0,use,user,single
30,Autre,0.030612244897959183,use,future_user,single
31,Autre,0.059602649006622516,use,nonuser,single
32,Autre,0.0703125,use,past_user,single
33,Autre,0.030100334448160536,use,user,single
34,Mon mari,0.23469387755102042,use,future_user,single
35,Mon mari,0.1986754966887417,use,nonuser,single
36,Mon mari,0.3046875,use,past_user,single
37,Mon mari,0.1939799331103679,use,user,single
38,Ma femme,0.07142857142857142,use,future_user,single
39,Ma femme,0.06291390728476821,use,nonuser,single
40,Ma femme,0.03125,use,past_user,single
41,Ma femme,0.033444816053511704,use,user,single
42,Amis,0.01020408163265306,use,future_user,single
43,Amis,0.026490066225165563,use,nonuser,single
44,Amis,0.015625,use,past_user,single
45,Amis,0.033444816053511704,use,user,single
46,Sœurs,0.01020408163265306,use,future_user,single
47,Sœurs,0.013245033112582781,use,nonuser,single
48,Sœurs,0.0234375,use,past_user,single
49,Sœurs,0.05016722408026756,use,user,single
50,Beaux-parents,0.04081632653061224,use,future_user,single
51,Beaux-parents,0.019867549668874173,use,nonuser,single
52,Beaux-parents,0.015625,use,past_user,single
53,Beaux-parents,0.023411371237458192,use,user,single
54,Mère,0.15306122448979592,use,future_user,single
