,label,proportion,split,group,question
0,Je préfère ne pas répondre,0.007255139056831923,none,all,forming_beliefs
1,Autre,0.17654171704957677,none,all,forming_beliefs
2,J'écoute mon corps et mon cœur,0.2418379685610641,none,all,forming_beliefs
3,Je réfléchis moi-même au sujet et j'essaie de le comprendre seul,0.1354292623941959,none,all,forming_beliefs
4,Je me réfère à ce qui est recommandé dans les textes religieux,0.02176541717049577,none,all,forming_beliefs
5,Je demande l'avis des personnes qui savent le mieux comment prendre cette décision,0.5030229746070133,none,all,forming_beliefs
6,Je réfléchis à des expériences similaires que j'ai vécues dans le passé,0.17049576783555018,none,all,forming_beliefs
7,Je regarde ce qui est commun chez les personnes qui m'entourent,0.07859733978234583,none,all,forming_beliefs
8,J'essaie différentes options et je choisis celle qui me convient le mieux,0.2007255139056832,none,all,forming_beliefs
9,Je regarde ce qui a été découvert dans le cadre de recherches,0.049576783555018135,none,all,forming_beliefs
10,"Je cherche des informations dans les médias, sur Internet ou sur les réseaux sociaux",0.036275695284159616,none,all,forming_beliefs
11,Je ne sais pas,0.018137847642079808,none,all,forming_beliefs
12,Je préfère ne pas répondre,0.0,use,future_user,forming_beliefs
13,Je préfère ne pas répondre,0.0033112582781456954,use,nonuser,forming_beliefs
14,Je préfère ne pas répondre,0.015625,use,past_user,forming_beliefs
15,Je préfère ne pas répondre,0.010033444816053512,use,user,forming_beliefs
16,Autre,0.14285714285714285,use,future_user,forming_beliefs
17,Autre,0.18543046357615894,use,nonuser,forming_beliefs
18,Autre,0.15625,use,past_user,forming_beliefs
19,Autre,0.18729096989966554,use,user,forming_beliefs
20,J'écoute mon corps et mon cœur,0.40816326530612246,use,future_user,forming_beliefs
21,J'écoute mon corps et mon cœur,0.19536423841059603,use,nonuser,forming_beliefs
22,J'écoute mon corps et mon cœur,0.3125,use,past_user,forming_beliefs
23,J'écoute mon corps et mon cœur,0.2040133779264214,use,user,forming_beliefs
24,Je réfléchis moi-même au sujet et j'essaie de le comprendre seul,0.21428571428571427,use,future_user,forming_beliefs
25,Je réfléchis moi-même au sujet et j'essaie de le comprendre seul,0.10927152317880795,use,nonuser,forming_beliefs
