,label,proportion,split,group,question
0,Yes,0.6916565900846433,none,all,achievable
1,No,0.09552599758162031,none,all,achievable
2,Don't know,0.05804111245465538,none,all,achievable
3,Prefer not to say,0.009673518742442563,none,all,achievable
4,Yes,0.673469387755102,use,future_user,achievable
5,Yes,0.6225165562913907,use,nonuser,achievable
6,Yes,0.7265625,use,past_user,achievable
7,Yes,0.7525083612040134,use,user,achievable
8,No,0.07142857142857142,use,future_user,achievable
9,No,0.17218543046357615,use,nonuser,achievable
10,No,0.0546875,use,past_user,achievable
11,No,0.043478260869565216,use,user,achievable
12,Don't know,0.07142857142857142,use,future_user,achievable
13,Don't know,0.06622516556291391,use,nonuser,achievable
14,Don't know,0.0078125,use,past_user,achievable
15,Don't know,0.06688963210702341,use,user,achievable
16,Prefer not to say,0.0,use,future_user,achievable
17,Prefer not to say,0.023178807947019868,use,nonuser,achievable
18,Prefer not to say,0.0078125,use,past_user,achievable
19,Prefer not to say,0.0,use,user,achievable
20,Yes,0.6155717761557178,gender,Femme Nyɔnu,achievable
21,Yes,0.7668269230769231,gender,Homme Sunnu,achievable
22,No,0.1070559610705596,gender,Femme Nyɔnu,achievable
23,No,0.08413461538461539,gender,Homme Sunnu,achievable
24,Don't know,0.06326034063260341,gender,Femme Nyɔnu,achievable
25,Don't know,0.052884615384615384,gender,Homme Sunnu,achievable
26,Prefer not to say,0.0072992700729927005,gender,Femme Nyɔnu,achievable
27,Prefer not to say,0.01201923076923077,gender,Homme Sunnu,achievable
28,Yes,0.5172413793103449,age_group,16-20,achievable
29,Yes,0.6242424242424243,age_group,21-30,achievable
30,Yes,0.75,age_group,31-45,achievable
31,No,0.10344827586206896,age_group,16-20,achievable
32,No,0.1303030303030303,age_group,21-30,achievable
33,No,0.07051282051282051,age_group,31-45,achievable
34,Don't know,0.13793103448275862,age_group,16-20,achievable
35,Don't know,0.051515151515151514,age_group,21-30,achievable
36,Don't know,0.057692307692307696,age_group,31-45,achievable
37,Prefer not to say,0.0,age_group,16-20,achievable
38,Prefer not to say,0.012121212121212121,age_group,21-30,achievable
39,Prefer not to say,0.008547008547008548,age_group,31-45,achievable
