,label,proportion,split,group,question
0,Préfère ne pas répondre,0.010882708585247884,none,all,top3
1,Je ne sais pas,0.006045949214026602,none,all,top3
2,Autre,0.07980652962515115,none,all,top3
3,Avoir toujours assez de nourriture pour mes enfants,0.06408706166868199,none,all,top3
4,Des enfants bien élevés,0.12696493349455865,none,all,top3
5,Des enfants pouvant aller à l'école,0.08464328899637243,none,all,top3
6,Une meilleure éducation pour moi-même,0.02781136638452237,none,all,top3
7,Une bonne santé pour les membres de ma famille,0.524788391777509,none,all,top3
8,Une bonne/meilleure santé personnelle,0.3385731559854897,none,all,top3
9,Une longue vie,0.24062877871825877,none,all,top3
10,Avoir bonne mine et être en forme,0.045949214026602174,none,all,top3
11,Davantage de temps pour me reposer ou moins de stress,0.006045949214026602,none,all,top3
12,"Un(e) conjoint(e) aimant(e), responsable et attentionné(e)",0.0471584038694075,none,all,top3
13,Avoir davantage d'enfants,0.07376058041112454,none,all,top3
14,Avoir moins d'enfants,0.03385731559854897,none,all,top3
15,Désir d'avoir un enfant d'un genre spécifique (garçon ou fille),0.008464328899637243,none,all,top3
16,Une famille paisible,0.17291414752116083,none,all,top3
17,Trouver un emploi,0.1185006045949214,none,all,top3
18,Avoir un revenu stable,0.1475211608222491,none,all,top3
19,Avoir un travail meilleur / agréable / respecté,0.17896009673518742,none,all,top3
20,Créer une entreprise,0.03990326481257558,none,all,top3
21,Prospérité financière,0.6759371221281741,none,all,top3
22,Construire / posséder une maison,0.12212817412333736,none,all,top3
23,Posséder une voiture ou une moto,0.020556227327690448,none,all,top3
24,Avoir plus de temps pour la pratique religieuse,0.018137847642079808,none,all,top3
25,Visiter La Mecque ou d'autres lieux de pèlerinage religieux,0.013301088270858524,none,all,top3
26,Être une personne responsable / sage / patiente,0.03385731559854897,none,all,top3
27,Être respecté(e) de ses pairs,0.008464328899637243,none,all,top3
28,Aider les autres,0.014510278113663845,none,all,top3
29,Vivre à l'étranger,0.009673518742442563,none,all,top3
30,"Progrès pour le pays (meilleures routes, eau ou économie)",0.015719467956469165,none,all,top3
31,Correction des erreurs passées,0.030229746070133012,none,all,top3
32,Épouser une autre femme (en plus de celle(s) qu'il a déjà),0.0,none,all,top3
33,Préfère ne pas répondre,0.01020408163265306,use,future_user,top3
34,Préfère ne pas répondre,0.016556291390728478,use,nonuser,top3
35,Préfère ne pas répondre,0.0,use,past_user,top3
36,Préfère ne pas répondre,0.010033444816053512,use,user,top3
37,Je ne sais pas,0.01020408163265306,use,future_user,top3
38,Je ne sais pas,0.0033112582781456954,use,nonuser,top3
39,Je ne sais pas,0.0078125,use,past_user,top3
40,Je ne sais pas,0.006688963210702341,use,user,top3
41,Autre,0.08163265306122448,use,future_user,top3
42,Autre,0.0695364238410596,use,nonuser,top3
43,Autre,0.125,use,past_user,top3
44,Autre,0.07023411371237458,use,user,top3
45,Avoir toujours assez de nourriture pour mes enfants,0.061224489795918366,use,future_user,top3
46,Avoir toujours assez de nourriture pour mes enfants,0.076158940397351,use,nonuser,top3
47,Avoir toujours assez de nourriture pour mes enfants,0.109375,use,past_user,top3
48,Avoir toujours assez de nourriture pour mes enfants,0.033444816053511704,use,user,top3
49,Des enfants bien élevés,0.12244897959183673,use,future_user,top3
50,Des enfants bien élevés,0.08609271523178808,use,nonuser,top3
51,Des enfants bien élevés,0.125,use,past_user,top3
52,Des enfants bien élevés,0.1705685618729097,use,user,top3
53,Des enfants pouvant aller à l'école,0.12244897959183673,use,future_user,top3
54,Des enfants pouvant aller à l'école,0.0728476821192053,use,nonuser,top3
55,Des enfants pouvant aller à l'école,0.0703125,use,past_user,top3
56,Des enfants pouvant aller à l'école,0.0903010033444816,use,user,top3
57,Une meilleure éducation pour moi-même,0.0,use,future_user,top3
58,Une meilleure éducation pour moi-même,0.026490066225165563,use,nonuser,top3
59,Une meilleure éducation pour moi-même,0.046875,use,past_user,top3
60,Une meilleure éducation pour moi-même,0.030100334448160536,use,user,top3
61,Une bonne santé pour les membres de ma famille,0.5612244897959183,use,future_user,top3
62,Une bonne santé pour les membres de ma famille,0.5099337748344371,use,nonuser,top3
63,Une bonne santé pour les membres de ma famille,0.515625,use,past_user,top3
64,Une bonne santé pour les membres de ma famille,0.5317725752508361,use,user,top3
65,Une bonne/meilleure santé personnelle,0.21428571428571427,use,future_user,top3
66,Une bonne/meilleure santé personnelle,0.39072847682119205,use,nonuser,top3
67,Une bonne/meilleure santé personnelle,0.328125,use,past_user,top3
68,Une bonne/meilleure santé personnelle,0.3311036789297659,use,user,top3
69,Une longue vie,0.25510204081632654,use,future_user,top3
70,Une longue vie,0.18211920529801323,use,nonuser,top3
71,Une longue vie,0.2265625,use,past_user,top3
72,Une longue vie,0.3010033444816054,use,user,top3
73,Avoir bonne mine et être en forme,0.02040816326530612,use,future_user,top3
74,Avoir bonne mine et être en forme,0.052980132450331126,use,nonuser,top3
75,Avoir bonne mine et être en forme,0.0703125,use,past_user,top3
76,Avoir bonne mine et être en forme,0.03678929765886288,use,user,top3
77,Davantage de temps pour me reposer ou moins de stress,0.01020408163265306,use,future_user,top3
78,Davantage de temps pour me reposer ou moins de stress,0.0,use,nonuser,top3
79,Davantage de temps pour me reposer ou moins de stress,0.0078125,use,past_user,top3
80,Davantage de temps pour me reposer ou moins de stress,0.010033444816053512,use,user,top3
81,"Un(e) conjoint(e) aimant(e), responsable et attentionné(e)",0.04081632653061224,use,future_user,top3
82,"Un(e) conjoint(e) aimant(e), responsable et attentionné(e)",0.059602649006622516,use,nonuser,top3
83,"Un(e) conjoint(e) aimant(e), responsable et attentionné(e)",0.0703125,use,past_user,top3
84,"Un(e) conjoint(e) aimant(e), responsable et attentionné(e)",0.026755852842809364,use,user,top3
85,Avoir davantage d'enfants,0.11224489795918367,use,future_user,top3
86,Avoir davantage d'enfants,0.0695364238410596,use,nonuser,top3
87,Avoir davantage d'enfants,0.1015625,use,past_user,top3
88,Avoir davantage d'enfants,0.05351170568561873,use,user,top3
89,Avoir moins d'enfants,0.04081632653061224,use,future_user,top3
90,Avoir moins d'enfants,0.03642384105960265,use,nonuser,top3
91,Avoir moins d'enfants,0.0234375,use,past_user,top3
92,Avoir moins d'enfants,0.033444816053511704,use,user,top3
93,Désir d'avoir un enfant d'un genre spécifique (garçon ou fille),0.030612244897959183,use,future_user,top3
94,Désir d'avoir un enfant d'un genre spécifique (garçon ou fille),0.0,use,nonuser,top3
95,Désir d'avoir un enfant d'un genre spécifique (garçon ou fille),0.0078125,use,past_user,top3
96,Désir d'avoir un enfant d'un genre spécifique (garçon ou fille),0.010033444816053512,use,user,top3
97,Une famille paisible,0.1836734693877551,use,future_user,top3
98,Une famille paisible,0.16556291390728478,use,nonuser,top3
99,Une famille paisible,0.1796875,use,past_user,top3
100,Une famille paisible,0.17391304347826086,use,user,top3
101,Trouver un emploi,0.1326530612244898,use,future_user,top3
102,Trouver un emploi,0.10264900662251655,use,nonuser,top3
103,Trouver un emploi,0.0859375,use,past_user,top3
104,Trouver un emploi,0.14381270903010032,use,user,top3
105,Avoir un revenu stable,0.10204081632653061,use,future_user,top3
106,Avoir un revenu stable,0.10927152317880795,use,nonuser,top3
107,Avoir un revenu stable,0.1328125,use,past_user,top3
108,Avoir un revenu stable,0.20735785953177258,use,user,top3
109,Avoir un travail meilleur / agréable / respecté,0.16326530612244897,use,future_user,top3
110,Avoir un travail meilleur / agréable / respecté,0.15894039735099338,use,nonuser,top3
111,Avoir un travail meilleur / agréable / respecté,0.140625,use,past_user,top3
112,Avoir un travail meilleur / agréable / respecté,0.22073578595317725,use,user,top3
113,Créer une entreprise,0.02040816326530612,use,future_user,top3
114,Créer une entreprise,0.04304635761589404,use,nonuser,top3
115,Créer une entreprise,0.03125,use,past_user,top3
116,Créer une entreprise,0.046822742474916385,use,user,top3
117,Prospérité financière,0.7551020408163265,use,future_user,top3
118,Prospérité financière,0.6556291390728477,use,nonuser,top3
119,Prospérité financière,0.7109375,use,past_user,top3
120,Prospérité financière,0.6555183946488294,use,user,top3
121,Construire / posséder une maison,0.10204081632653061,use,future_user,top3
122,Construire / posséder une maison,0.1423841059602649,use,nonuser,top3
123,Construire / posséder une maison,0.109375,use,past_user,top3
124,Construire / posséder une maison,0.11371237458193979,use,user,top3
125,Posséder une voiture ou une moto,0.01020408163265306,use,future_user,top3
126,Posséder une voiture ou une moto,0.013245033112582781,use,nonuser,top3
127,Posséder une voiture ou une moto,0.046875,use,past_user,top3
128,Posséder une voiture ou une moto,0.020066889632107024,use,user,top3
129,Avoir plus de temps pour la pratique religieuse,0.01020408163265306,use,future_user,top3
130,Avoir plus de temps pour la pratique religieuse,0.023178807947019868,use,nonuser,top3
131,Avoir plus de temps pour la pratique religieuse,0.015625,use,past_user,top3
132,Avoir plus de temps pour la pratique religieuse,0.016722408026755852,use,user,top3
133,Visiter La Mecque ou d'autres lieux de pèlerinage religieux,0.02040816326530612,use,future_user,top3
134,Visiter La Mecque ou d'autres lieux de pèlerinage religieux,0.006622516556291391,use,nonuser,top3
135,Visiter La Mecque ou d'autres lieux de pèlerinage religieux,0.03125,use,past_user,top3
136,Visiter La Mecque ou d'autres lieux de pèlerinage religieux,0.010033444816053512,use,user,top3
137,Être une personne responsable / sage / patiente,0.02040816326530612,use,future_user,top3
138,Être une personne responsable / sage / patiente,0.033112582781456956,use,nonuser,top3
