,label,proportion,split,group,question
0,Préfère ne pas répondre,0.013301088270858524,none,all,traits
1,Je ne sais pas,0.06287787182587666,none,all,traits
2,Autre,0.3518742442563482,none,all,traits
3,Calme,0.06892382103990327,none,all,traits
4,Ne se mêle pas des affaires des autres,0.049576783555018135,none,all,traits
5,Sociable,0.31559854897218864,none,all,traits
6,Gentillesse,0.12575574365175332,none,all,traits
7,N'aime pas les choses matérielles,0.013301088270858524,none,all,traits
8,Ne fait pas de bruit,0.036275695284159616,none,all,traits
9,Patience,0.17412333736396615,none,all,traits
10,Endurance,0.08827085852478839,none,all,traits
11,Honnêteté,0.3301088270858525,none,all,traits
12,Respect,0.3542926239419589,none,all,traits
13,Éducation,0.2914147521160822,none,all,traits
14,Sincère,0.22974607013301088,none,all,traits
15,Pardonne facilement,0.0592503022974607,none,all,traits
16,Discipline,0.218863361547763,none,all,traits
17,Bon croyant,0.06408706166868199,none,all,traits
18,Bon comportement,0.32406287787182586,none,all,traits
19,Issu d'une bonne lignée et d'un bon statut social,0.012091898428053204,none,all,traits
20,Bon cœur,0.27690447400241835,none,all,traits
21,Bonne personnalité,0.2841596130592503,none,all,traits
22,Aidant les autres,0.2551390568319226,none,all,traits
23,Respectable,0.2539298669891173,none,all,traits
24,Fiabilité,0.14389359129383314,none,all,traits
25,À l'écoute,0.4437726723095526,none,all,traits
26,Religieux,0.060459492140266025,none,all,traits
27,Soigné,0.06892382103990327,none,all,traits
28,Se soucie de ses proches,0.1293833131801693,none,all,traits
29,Encourage les bons comportements,0.14389359129383314,none,all,traits
30,Courageux,0.10519951632406288,none,all,traits
31,Accueille tout le monde,0.13059250302297462,none,all,traits
32,A des enfants bien éduqués,0.041112454655380895,none,all,traits
33,Riche,0.06529625151148731,none,all,traits
34,Ne se plaint jamais,0.03990326481257558,none,all,traits
35,Prend bien soin de sa famille,0.19709794437726724,none,all,traits
36,Préfère ne pas répondre,0.04081632653061224,use,future_user,traits
37,Préfère ne pas répondre,0.016556291390728478,use,nonuser,traits
38,Préfère ne pas répondre,0.0,use,past_user,traits
39,Préfère ne pas répondre,0.006688963210702341,use,user,traits
40,Je ne sais pas,0.061224489795918366,use,future_user,traits
41,Je ne sais pas,0.04966887417218543,use,nonuser,traits
42,Je ne sais pas,0.0546875,use,past_user,traits
43,Je ne sais pas,0.0802675585284281,use,user,traits
44,Autre,0.3469387755102041,use,future_user,traits
45,Autre,0.37748344370860926,use,nonuser,traits
46,Autre,0.3359375,use,past_user,traits
47,Autre,0.33444816053511706,use,user,traits
48,Calme,0.10204081632653061,use,future_user,traits
49,Calme,0.0728476821192053,use,nonuser,traits
50,Calme,0.078125,use,past_user,traits
51,Calme,0.05016722408026756,use,user,traits
52,Ne se mêle pas des affaires des autres,0.061224489795918366,use,future_user,traits
53,Ne se mêle pas des affaires des autres,0.04966887417218543,use,nonuser,traits
54,Ne se mêle pas des affaires des autres,0.0390625,use,past_user,traits
55,Ne se mêle pas des affaires des autres,0.05016722408026756,use,user,traits
56,Sociable,0.41836734693877553,use,future_user,traits
57,Sociable,0.2913907284768212,use,nonuser,traits
58,Sociable,0.3828125,use,past_user,traits
59,Sociable,0.27759197324414714,use,user,traits
60,Gentillesse,0.20408163265306123,use,future_user,traits
61,Gentillesse,0.12251655629139073,use,nonuser,traits
62,Gentillesse,0.1015625,use,past_user,traits
63,Gentillesse,0.11371237458193979,use,user,traits
64,N'aime pas les choses matérielles,0.01020408163265306,use,future_user,traits
65,N'aime pas les choses matérielles,0.013245033112582781,use,nonuser,traits
66,N'aime pas les choses matérielles,0.0078125,use,past_user,traits
67,N'aime pas les choses matérielles,0.016722408026755852,use,user,traits
68,Ne fait pas de bruit,0.04081632653061224,use,future_user,traits
69,Ne fait pas de bruit,0.052980132450331126,use,nonuser,traits
70,Ne fait pas de bruit,0.0078125,use,past_user,traits
71,Ne fait pas de bruit,0.030100334448160536,use,user,traits
72,Patience,0.2653061224489796,use,future_user,traits
73,Patience,0.152317880794702,use,nonuser,traits
74,Patience,0.203125,use,past_user,traits
75,Patience,0.15384615384615385,use,user,traits
76,Endurance,0.1836734693877551,use,future_user,traits
77,Endurance,0.0695364238410596,use,nonuser,traits
78,Endurance,0.046875,use,past_user,traits
79,Endurance,0.09364548494983277,use,user,traits
80,Honnêteté,0.35714285714285715,use,future_user,traits
81,Honnêteté,0.304635761589404,use,nonuser,traits
82,Honnêteté,0.328125,use,past_user,traits
83,Honnêteté,0.34782608695652173,use,user,traits
84,Respect,0.41836734693877553,use,future_user,traits
85,Respect,0.347682119205298,use,nonuser,traits
86,Respect,0.4140625,use,past_user,traits
87,Respect,0.31438127090301005,use,user,traits
88,Éducation,0.29591836734693877,use,future_user,traits
89,Éducation,0.3079470198675497,use,nonuser,traits
90,Éducation,0.3046875,use,past_user,traits
91,Éducation,0.26755852842809363,use,user,traits
92,Sincère,0.3469387755102041,use,future_user,traits
93,Sincère,0.20860927152317882,use,nonuser,traits
94,Sincère,0.2421875,use,past_user,traits
95,Sincère,0.20735785953177258,use,user,traits
96,Pardonne facilement,0.05102040816326531,use,future_user,traits
97,Pardonne facilement,0.0695364238410596,use,nonuser,traits
98,Pardonne facilement,0.078125,use,past_user,traits
99,Pardonne facilement,0.043478260869565216,use,user,traits
100,Discipline,0.21428571428571427,use,future_user,traits
101,Discipline,0.2582781456953642,use,nonuser,traits
102,Discipline,0.21875,use,past_user,traits
103,Discipline,0.1806020066889632,use,user,traits
104,Bon croyant,0.09183673469387756,use,future_user,traits
105,Bon croyant,0.04966887417218543,use,nonuser,traits
106,Bon croyant,0.0546875,use,past_user,traits
107,Bon croyant,0.07357859531772576,use,user,traits
108,Bon comportement,0.3979591836734694,use,future_user,traits
109,Bon comportement,0.3211920529801324,use,nonuser,traits
110,Bon comportement,0.3359375,use,past_user,traits
111,Bon comportement,0.2976588628762542,use,user,traits
112,Issu d'une bonne lignée et d'un bon statut social,0.01020408163265306,use,future_user,traits
113,Issu d'une bonne lignée et d'un bon statut social,0.009933774834437087,use,nonuser,traits
114,Issu d'une bonne lignée et d'un bon statut social,0.0234375,use,past_user,traits
115,Issu d'une bonne lignée et d'un bon statut social,0.010033444816053512,use,user,traits
116,Bon cœur,0.35714285714285715,use,future_user,traits
117,Bon cœur,0.25496688741721857,use,nonuser,traits
118,Bon cœur,0.2265625,use,past_user,traits
119,Bon cœur,0.29431438127090304,use,user,traits
120,Bonne personnalité,0.35714285714285715,use,future_user,traits
121,Bonne personnalité,0.271523178807947,use,nonuser,traits
122,Bonne personnalité,0.2890625,use,past_user,traits
123,Bonne personnalité,0.2709030100334448,use,user,traits
124,Aidant les autres,0.29591836734693877,use,future_user,traits
125,Aidant les autres,0.2947019867549669,use,nonuser,traits
126,Aidant les autres,0.2421875,use,past_user,traits
127,Aidant les autres,0.20735785953177258,use,user,traits
128,Respectable,0.3673469387755102,use,future_user,traits
129,Respectable,0.24834437086092714,use,nonuser,traits
130,Respectable,0.2734375,use,past_user,traits
131,Respectable,0.2140468227424749,use,user,traits
132,Fiabilité,0.29591836734693877,use,future_user,traits
133,Fiabilité,0.10927152317880795,use,nonuser,traits
134,Fiabilité,0.15625,use,past_user,traits
135,Fiabilité,0.12374581939799331,use,user,traits
136,À l'écoute,0.5204081632653061,use,future_user,traits
137,À l'écoute,0.4139072847682119,use,nonuser,traits
138,À l'écoute,0.5234375,use,past_user,traits
139,À l'écoute,0.41471571906354515,use,user,traits
140,Religieux,0.05102040816326531,use,future_user,traits
141,Religieux,0.056291390728476824,use,nonuser,traits
142,Religieux,0.0546875,use,past_user,traits
143,Religieux,0.07023411371237458,use,user,traits
144,Soigné,0.09183673469387756,use,future_user,traits
145,Soigné,0.06622516556291391,use,nonuser,traits
146,Soigné,0.0625,use,past_user,traits
147,Soigné,0.06688963210702341,use,user,traits
148,Se soucie de ses proches,0.1836734693877551,use,future_user,traits
149,Se soucie de ses proches,0.1456953642384106,use,nonuser,traits
150,Se soucie de ses proches,0.1328125,use,past_user,traits
151,Se soucie de ses proches,0.09364548494983277,use,user,traits
152,Encourage les bons comportements,0.24489795918367346,use,future_user,traits
153,Encourage les bons comportements,0.11258278145695365,use,nonuser,traits
154,Encourage les bons comportements,0.125,use,past_user,traits
155,Encourage les bons comportements,0.1505016722408027,use,user,traits
156,Courageux,0.19387755102040816,use,future_user,traits
157,Courageux,0.09933774834437085,use,nonuser,traits
158,Courageux,0.109375,use,past_user,traits
159,Courageux,0.0802675585284281,use,user,traits
160,Accueille tout le monde,0.24489795918367346,use,future_user,traits
161,Accueille tout le monde,0.11258278145695365,use,nonuser,traits
