,label,proportion,split,group,question
0,Je ne sais pas,0.041112454655380895,none,all,role_models
1,Préfère ne pas répondre,0.007255139056831923,none,all,role_models
2,Autre,0.10640870616686819,none,all,role_models
3,Le prophète Mahomet,0.0048367593712212815,none,all,role_models
4,Dieu,0.12454655380894801,none,all,role_models
5,Le chef religieux,0.03385731559854897,none,all,role_models
6,Malama (prédicatrices),0.0012091898428053204,none,all,role_models
7,Chef traditionnel,0.009673518742442563,none,all,role_models
8,Jésus-Christ,0.04836759371221282,none,all,role_models
9,Croyant fervent,0.008464328899637243,none,all,role_models
10,Conjoint,0.2007255139056832,none,all,role_models
11,Mère,0.37122128174123337,none,all,role_models
12,Père,0.25272067714631197,none,all,role_models
13,Frère,0.19347037484885127,none,all,role_models
14,Sœur,0.10157194679564692,none,all,role_models
15,Ami,0.2720677146311971,none,all,role_models
16,Enfants,0.030229746070133012,none,all,role_models
17,Dirigeant politique,0.02539298669891173,none,all,role_models
18,Voisin,0.03869407496977025,none,all,role_models
19,Collègue,0.012091898428053204,none,all,role_models
20,"Les anciens, les personnes âgées",0.05804111245465538,none,all,role_models
21,Officiers militaires,0.0036275695284159614,none,all,role_models
22,Hommes d'affaires,0.02176541717049577,none,all,role_models
23,Commerçants,0.022974607013301087,none,all,role_models
24,Enseignants,0.007255139056831923,none,all,role_models
25,Professionnel de santé,0.045949214026602174,none,all,role_models
26,Superstars,0.010882708585247884,none,all,role_models
27,Les personnes qui ont réussi,0.06650544135429262,none,all,role_models
28,Mon patron,0.014510278113663845,none,all,role_models
29,Les gens riches,0.02781136638452237,none,all,role_models
30,Oncle,0.1124546553808948,none,all,role_models
31,Tante,0.056831922611850064,none,all,role_models
32,Grand-mère,0.026602176541717048,none,all,role_models
33,Grand-père,0.013301088270858524,none,all,role_models
34,Un membre de la famille,0.07376058041112454,none,all,role_models
35,Personnages de radio ou de télévision,0.006045949214026602,none,all,role_models
36,Aucune personne,0.03869407496977025,none,all,role_models
37,Je ne sais pas,0.061224489795918366,use,future_user,role_models
38,Je ne sais pas,0.033112582781456956,use,nonuser,role_models
39,Je ne sais pas,0.046875,use,past_user,role_models
40,Je ne sais pas,0.04013377926421405,use,user,role_models
41,Préfère ne pas répondre,0.02040816326530612,use,future_user,role_models
42,Préfère ne pas répondre,0.009933774834437087,use,nonuser,role_models
43,Préfère ne pas répondre,0.0078125,use,past_user,role_models
44,Préfère ne pas répondre,0.0,use,user,role_models
45,Autre,0.1326530612244898,use,future_user,role_models
46,Autre,0.0728476821192053,use,nonuser,role_models
47,Autre,0.1171875,use,past_user,role_models
48,Autre,0.12709030100334448,use,user,role_models
49,Le prophète Mahomet,0.01020408163265306,use,future_user,role_models
50,Le prophète Mahomet,0.0033112582781456954,use,nonuser,role_models
51,Le prophète Mahomet,0.0,use,past_user,role_models
52,Le prophète Mahomet,0.006688963210702341,use,user,role_models
53,Dieu,0.10204081632653061,use,future_user,role_models
54,Dieu,0.11258278145695365,use,nonuser,role_models
55,Dieu,0.125,use,past_user,role_models
56,Dieu,0.14381270903010032,use,user,role_models
57,Le chef religieux,0.04081632653061224,use,future_user,role_models
58,Le chef religieux,0.04304635761589404,use,nonuser,role_models
59,Le chef religieux,0.03125,use,past_user,role_models
60,Le chef religieux,0.023411371237458192,use,user,role_models
61,Malama (prédicatrices),0.0,use,future_user,role_models
62,Malama (prédicatrices),0.0,use,nonuser,role_models
63,Malama (prédicatrices),0.0,use,past_user,role_models
64,Malama (prédicatrices),0.0033444816053511705,use,user,role_models
65,Chef traditionnel,0.01020408163265306,use,future_user,role_models
66,Chef traditionnel,0.009933774834437087,use,nonuser,role_models
67,Chef traditionnel,0.0,use,past_user,role_models
68,Chef traditionnel,0.013377926421404682,use,user,role_models
69,Jésus-Christ,0.02040816326530612,use,future_user,role_models
70,Jésus-Christ,0.06622516556291391,use,nonuser,role_models
71,Jésus-Christ,0.0234375,use,past_user,role_models
72,Jésus-Christ,0.05016722408026756,use,user,role_models
73,Croyant fervent,0.0,use,future_user,role_models
74,Croyant fervent,0.009933774834437087,use,nonuser,role_models
75,Croyant fervent,0.0078125,use,past_user,role_models
76,Croyant fervent,0.010033444816053512,use,user,role_models
77,Conjoint,0.17346938775510204,use,future_user,role_models
78,Conjoint,0.2185430463576159,use,nonuser,role_models
79,Conjoint,0.2890625,use,past_user,role_models
80,Conjoint,0.15384615384615385,use,user,role_models
81,Mère,0.3469387755102041,use,future_user,role_models
82,Mère,0.3741721854304636,use,nonuser,role_models
83,Mère,0.453125,use,past_user,role_models
84,Mère,0.3411371237458194,use,user,role_models
85,Père,0.2857142857142857,use,future_user,role_models
86,Père,0.23841059602649006,use,nonuser,role_models
87,Père,0.3203125,use,past_user,role_models
88,Père,0.22742474916387959,use,user,role_models
89,Frère,0.20408163265306123,use,future_user,role_models
90,Frère,0.19205298013245034,use,nonuser,role_models
91,Frère,0.2265625,use,past_user,role_models
92,Frère,0.17725752508361203,use,user,role_models
93,Sœur,0.04081632653061224,use,future_user,role_models
94,Sœur,0.11589403973509933,use,nonuser,role_models
95,Sœur,0.109375,use,past_user,role_models
96,Sœur,0.10367892976588629,use,user,role_models
97,Ami,0.2857142857142857,use,future_user,role_models
98,Ami,0.2847682119205298,use,nonuser,role_models
99,Ami,0.2421875,use,past_user,role_models
100,Ami,0.26755852842809363,use,user,role_models
101,Enfants,0.02040816326530612,use,future_user,role_models
102,Enfants,0.046357615894039736,use,nonuser,role_models
103,Enfants,0.046875,use,past_user,role_models
104,Enfants,0.010033444816053512,use,user,role_models
105,Dirigeant politique,0.02040816326530612,use,future_user,role_models
106,Dirigeant politique,0.023178807947019868,use,nonuser,role_models
107,Dirigeant politique,0.03125,use,past_user,role_models
108,Dirigeant politique,0.026755852842809364,use,user,role_models
