,label,proportion,question,split,group
0,5,0.2851421758480635,happiness,none,all
1,9,0.14290434132607877,happiness,none,all
2,10,0.12279261037597254,happiness,none,all
3,4,0.12184385478853418,happiness,none,all
4,6,0.1018119805684359,happiness,none,all
5,7,0.09823362156390643,happiness,none,all
6,8,0.07109608863844484,happiness,none,all
7,3,0.0399663924749353,happiness,none,all
8,Je ne sais pas / Un tùun ǎ,0.009760060556909877,happiness,none,all
9,2,0.006448873858718832,happiness,none,all
10,10,0.23284153493005708,happiness,use,future_user
11,2,0.0,happiness,use,future_user
12,3,0.04874668530683745,happiness,use,future_user
13,4,0.05664522623594613,happiness,use,future_user
14,5,0.3043171404481564,happiness,use,future_user
15,6,0.08162538068672796,happiness,use,future_user
16,7,0.05447871114738174,happiness,use,future_user
17,8,0.13818678503959983,happiness,use,future_user
18,9,0.08315853620529368,happiness,use,future_user
19,Je ne sais pas / Un tùun ǎ,0.0,happiness,use,future_user
20,10,0.16523230559118732,happiness,use,nonuser
21,2,0.0,happiness,use,nonuser
22,3,0.06942822040544587,happiness,use,nonuser
23,4,0.08128658512218688,happiness,use,nonuser
24,5,0.3168284867357762,happiness,use,nonuser
25,6,0.1146517113076605,happiness,use,nonuser
26,7,0.09047336573938827,happiness,use,nonuser
27,8,0.03540892099053037,happiness,use,nonuser
28,9,0.12324719907033839,happiness,use,nonuser
29,Je ne sais pas / Un tùun ǎ,0.00344320503748613,happiness,use,nonuser
30,10,0.02142338618775177,happiness,use,past_user
31,2,0.00012263291638030236,happiness,use,past_user
32,3,0.026737565495024353,happiness,use,past_user
33,4,0.2509636263285163,happiness,use,past_user
34,5,0.3191769766627337,happiness,use,past_user
35,6,0.08514311057236734,happiness,use,past_user
36,7,0.16109252619122932,happiness,use,past_user
37,8,0.0651790362771315,happiness,use,past_user
38,9,0.0639515572236282,happiness,use,past_user
39,Je ne sais pas / Un tùun ǎ,0.006209582145237433,happiness,use,past_user
40,10,0.1263280320151892,happiness,use,user
41,2,0.021612428849216492,happiness,use,user
42,3,0.013509060790923955,happiness,use,user
43,4,0.07833383386556735,happiness,use,user
44,5,0.21189291667864898,happiness,use,user
45,6,0.10705157510443844,happiness,use,user
46,7,0.06637742061460797,happiness,use,user
47,8,0.09846590411088782,happiness,use,user
48,9,0.25305945471659885,happiness,use,user
49,Je ne sais pas / Un tùun ǎ,0.023369373253921005,happiness,use,user
50,10,0.04640151904000964,happiness,gender,Femme Nyɔnu
51,2,0.008862091669995138,happiness,gender,Femme Nyɔnu
52,3,0.07095807853667602,happiness,gender,Femme Nyɔnu
53,4,0.1444776690040768,happiness,gender,Femme Nyɔnu
54,5,0.2876117492762997,happiness,gender,Femme Nyɔnu
55,6,0.13189750213530405,happiness,gender,Femme Nyɔnu
56,7,0.11370130146913458,happiness,gender,Femme Nyɔnu
57,8,0.059881206674270215,happiness,gender,Femme Nyɔnu
58,9,0.1360750535361399,happiness,gender,Femme Nyɔnu
59,Je ne sais pas / Un tùun ǎ,0.00013382865809400486,happiness,gender,Femme Nyɔnu
60,10,0.2068763928851156,happiness,gender,Homme Sunnu
61,2,0.003792641593386323,happiness,gender,Homme Sunnu
62,3,0.0058537996996012994,happiness,gender,Homme Sunnu
63,4,0.09693078340063936,happiness,gender,Homme Sunnu
64,5,0.2824239128752656,happiness,gender,Homme Sunnu
65,6,0.0686968043369928,happiness,gender,Homme Sunnu
66,7,0.08120832436855178,happiness,gender,Homme Sunnu
67,8,0.08344032511222636,happiness,gender,Homme Sunnu
68,9,0.15042134807619997,happiness,gender,Homme Sunnu
69,Je ne sais pas / Un tùun ǎ,0.020355667652020983,happiness,gender,Homme Sunnu
70,10,0.09721970726635998,happiness,age_group,16-20
71,2,0.0,happiness,age_group,16-20
