,region,k,cost
0,North-East,1,533.0
1,North-East,2,407.0
2,North-East,3,395.0
3,North-East,4,372.0
4,North-East,5,359.0
5,North-East,6,348.0
6,North-West,1,144.0
7,North-West,2,112.0
8,North-West,3,105.0
9,North-West,4,97.0
10,North-West,5,94.0
11,North-West,6,87.0
12,Mid-South,1,767.0
13,Mid-South,2,563.0
14,Mid-South,3,534.0
15,Mid-South,4,516.0
16,Mid-South,5,498.0
17,Mid-South,6,480.0
18,South-South,1,1367.0
19,South-South,2,1128.0
20,South-South,3,1078.0
21,South-South,4,1052.0
22,South-South,5,1039.0
23,South-South,6,1006.0
