,persona,variable,value,proportion
0,0,age,mean,31.734553775743706
1,0,gender,Femme Nyɔnu,0.9336384439359268
2,0,gender,Homme Sunnu,0.06636155606407322
3,0,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,0.5721649484536082
4,0,occupation,Artisan/ Alɔnǔwǎtɔ́,0.10824742268041238
5,0,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /|Artisan/ Alɔnǔwǎtɔ́,0.041237113402061855
6,0,religion,Christianisme/ Klisanwun,0.5217391304347826
7,0,religion,Islam / Islam,0.20137299771167047
8,0,religion,Autre/Ðevo,0.16475972540045766
9,0,life_goals,Prospérité financière/ akwɛ́ ɖiɖó|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ,0.013729977116704805
10,0,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó|Autre : veuillez préciser/ Ðevo: kɛnklɛn bo ɖɔ,0.013729977116704805
11,0,life_goals,Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Trouver un emploi/Mon Azɔ̌|Prospérité financière/ akwɛ́ ɖiɖó,0.009153318077803204
12,0,age_group,31-45,0.5080091533180778
13,0,age_group,21-30,0.43707093821510296
14,0,age_group,16-20,0.05491990846681922
15,0,use,user,0.3318077803203661
16,0,use,nonuser,0.3295194508009153
17,0,use,past_user,0.20594965675057209
18,0,use,future_user,0.13272311212814644
19,0,_count,n,437.0
20,0,_count,weighted_n,598275.234436206
21,1,age,mean,34.705882352941174
22,1,gender,Homme Sunnu,1.0
23,1,occupation,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",0.4158730158730159
24,1,occupation,Autre,0.14285714285714285
25,1,occupation,Artisan/ Alɔnǔwǎtɔ́,0.12698412698412698
26,1,religion,Christianisme/ Klisanwun,0.6160990712074303
27,1,religion,Traditionnelle/ Akɔta,0.15479876160990713
28,1,religion,Islam / Islam,0.13003095975232198
29,1,life_goals,Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó,0.043343653250773995
30,1,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn,0.04024767801857585
31,1,life_goals,Prospérité financière/ akwɛ́ ɖiɖó|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn,0.030959752321981424
32,1,age_group,31-45,0.6253869969040248
33,1,age_group,21-30,0.3622291021671827
34,1,age_group,16-20,0.01238390092879257
35,1,use,nonuser,0.43034055727554177
36,1,use,user,0.3653250773993808
37,1,use,future_user,0.10526315789473684
38,1,use,past_user,0.09907120743034056
39,1,_count,n,323.0
40,1,_count,weighted_n,399313.66922389425
41,2,age,mean,31.71641791044776
42,2,gender,Homme Sunnu,0.9552238805970149
43,2,gender,Femme Nyɔnu,0.04477611940298507
44,2,occupation,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́|Artisan/ Alɔnǔwǎtɔ́",0.2459016393442623
45,2,occupation,Autre,0.13114754098360656
46,2,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,0.11475409836065574
47,2,religion,Islam / Islam,0.8059701492537313
48,2,religion,Traditionnelle/ Akɔta,0.11940298507462686
49,2,religion,Autre/Ðevo,0.04477611940298507
50,2,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Prospérité financière/ akwɛ́ ɖiɖó,0.05970149253731343
51,2,life_goals,Trouver un emploi/Mon Azɔ̌,0.014925373134328358
52,2,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Avoir davantage d'enfants/ Mi ji vi gege|Prospérité financière/ akwɛ́ ɖiɖó,0.014925373134328358
53,2,age_group,31-45,0.6567164179104478
54,2,age_group,21-30,0.3283582089552239
55,2,age_group,16-20,0.014925373134328358
56,2,use,user,0.5373134328358209
57,2,use,nonuser,0.2835820895522388
58,2,use,past_user,0.08955223880597014
59,2,use,future_user,0.08955223880597014
60,2,_count,n,67.0
61,2,_count,weighted_n,105284.75212374293
