,gender,persona,variable,value,proportion
0,Femme Nyɔnu,0,age,mean,31.65891472868217
1,Femme Nyɔnu,0,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,0.5789473684210527
2,Femme Nyɔnu,0,occupation,Artisan/ Alɔnǔwǎtɔ́,0.09649122807017543
3,Femme Nyɔnu,0,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /|Autre,0.05263157894736842
4,Femme Nyɔnu,0,religion,Christianisme/ Klisanwun,0.7945736434108527
5,Femme Nyɔnu,0,religion,Traditionnelle/ Akɔta,0.12015503875968993
6,Femme Nyɔnu,0,religion,Islam / Islam,0.046511627906976744
7,Femme Nyɔnu,0,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó|Autre : veuillez préciser/ Ðevo: kɛnklɛn bo ɖɔ,0.01937984496124031
8,Femme Nyɔnu,0,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Des enfants bien élevés/ Vi e nɔ wa nu ganji|Prospérité financière/ akwɛ́ ɖiɖó,0.011627906976744186
9,Femme Nyɔnu,0,life_goals,Des enfants bien élevés/ Vi e nɔ wa nu ganji|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó,0.011627906976744186
10,Femme Nyɔnu,0,gender,Femme Nyɔnu,1.0
11,Femme Nyɔnu,0,age_group,31-45,0.4806201550387597
12,Femme Nyɔnu,0,age_group,21-30,0.47674418604651164
13,Femme Nyɔnu,0,age_group,16-20,0.04263565891472868
14,Femme Nyɔnu,0,use,user,0.4186046511627907
15,Femme Nyɔnu,0,use,nonuser,0.29069767441860467
16,Femme Nyɔnu,0,use,past_user,0.18604651162790697
17,Femme Nyɔnu,0,use,future_user,0.10465116279069768
18,Femme Nyɔnu,0,_count,n,258.0
19,Femme Nyɔnu,0,_count,weighted_n,204168.43505551692
20,Femme Nyɔnu,1,age,mean,31.433734939759034
21,Femme Nyɔnu,1,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,0.7538461538461538
22,Femme Nyɔnu,1,occupation,Artisan/ Alɔnǔwǎtɔ́,0.15384615384615385
23,Femme Nyɔnu,1,occupation,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",0.03076923076923077
24,Femme Nyɔnu,1,religion,Islam / Islam,0.9518072289156626
25,Femme Nyɔnu,1,religion,Traditionnelle/ Akɔta,0.03614457831325301
26,Femme Nyɔnu,1,religion,Autre/Ðevo,0.012048192771084338
27,Femme Nyɔnu,1,life_goals,Avoir davantage d'enfants/ Mi ji vi gege|Prospérité financière/ akwɛ́ ɖiɖó|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn,0.03614457831325301
28,Femme Nyɔnu,1,life_goals,Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó,0.024096385542168676
29,Femme Nyɔnu,1,life_goals,Prospérité financière/ akwɛ́ ɖiɖó|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Avoir toujours assez de nourriture pour mes enfants /Nuɖuɖu sukpɔ nu vi ce lɛ hwebinu,0.024096385542168676
30,Femme Nyɔnu,1,gender,Femme Nyɔnu,1.0
31,Femme Nyɔnu,1,age_group,31-45,0.5060240963855421
32,Femme Nyɔnu,1,age_group,21-30,0.43373493975903615
33,Femme Nyɔnu,1,age_group,16-20,0.060240963855421686
34,Femme Nyɔnu,1,use,nonuser,0.3132530120481928
35,Femme Nyɔnu,1,use,past_user,0.2891566265060241
36,Femme Nyɔnu,1,use,user,0.21686746987951808
37,Femme Nyɔnu,1,use,future_user,0.18072289156626506
38,Femme Nyɔnu,1,_count,n,83.0
39,Femme Nyɔnu,1,_count,weighted_n,194316.81909224976
40,Femme Nyɔnu,2,age,mean,31.085714285714285
41,Femme Nyɔnu,2,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,0.4782608695652174
42,Femme Nyɔnu,2,occupation,Artisan/ Alɔnǔwǎtɔ́,0.14492753623188406
43,Femme Nyɔnu,2,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /|Artisan/ Alɔnǔwǎtɔ́,0.07246376811594203
44,Femme Nyɔnu,2,religion,Autre/Ðevo,0.9714285714285714
45,Femme Nyɔnu,2,religion,Aucune/Ðebǔ,0.014285714285714285
46,Femme Nyɔnu,2,religion,Traditionnelle/ Akɔta,0.014285714285714285
47,Femme Nyɔnu,2,life_goals,Prospérité financière/ akwɛ́ ɖiɖó|Avoir davantage d'enfants/ Mi ji vi gege|Une longue vie Gbɛ gaga,0.02857142857142857
48,Femme Nyɔnu,2,life_goals,Avoir moins d'enfants/ Ðɔ vǐ kpɛɖé|Prospérité financière/ akwɛ́ ɖiɖó,0.02857142857142857
49,Femme Nyɔnu,2,life_goals,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Une famille paisible/ Xwédo fífá ɖé .|Prospérité financière/ akwɛ́ ɖiɖó,0.02857142857142857
50,Femme Nyɔnu,2,gender,Femme Nyɔnu,1.0
51,Femme Nyɔnu,2,age_group,31-45,0.4857142857142857
52,Femme Nyɔnu,2,age_group,21-30,0.4
53,Femme Nyɔnu,2,age_group,16-20,0.11428571428571428
54,Femme Nyɔnu,2,use,nonuser,0.4857142857142857
55,Femme Nyɔnu,2,use,past_user,0.2
56,Femme Nyɔnu,2,use,future_user,0.17142857142857143
57,Femme Nyɔnu,2,use,user,0.14285714285714285
58,Femme Nyɔnu,2,_count,n,70.0
59,Femme Nyɔnu,2,_count,weighted_n,164420.20805127945
60,Homme Sunnu,0,age,mean,33.875
