,region,persona,variable,value,proportion
0,North-East,0,age,mean,31.83116883116883
1,North-East,0,gender,Homme Sunnu,0.974025974025974
2,North-East,0,gender,Femme Nyɔnu,0.025974025974025976
3,North-East,0,occupation,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",0.56
4,North-East,0,occupation,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́|Artisan/ Alɔnǔwǎtɔ́",0.13333333333333333
5,North-East,0,occupation,Artisan/ Alɔnǔwǎtɔ́,0.10666666666666667
6,North-East,0,religion,Islam / Islam,0.7662337662337663
7,North-East,0,religion,Christianisme/ Klisanwun,0.23376623376623376
8,North-East,0,life_goals,Construire / posséder une maison/ xwé gbá/ɖó|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Avoir un travail meilleur / agréable / respecté/ Mi ɖo azɔ ɖagbe/e vivi/e nɔ si,0.025974025974025976
9,North-East,0,life_goals,Avoir moins d'enfants/ Ðɔ vǐ kpɛɖé|Une longue vie Gbɛ gaga|Prospérité financière/ akwɛ́ ɖiɖó,0.012987012987012988
10,North-East,0,life_goals,Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Trouver un emploi/Mon Azɔ̌|Prospérité financière/ akwɛ́ ɖiɖó,0.012987012987012988
11,North-East,0,age_group,21-30,0.5454545454545454
12,North-East,0,age_group,31-45,0.44155844155844154
13,North-East,0,age_group,16-20,0.012987012987012988
14,North-East,0,use,user,0.44155844155844154
15,North-East,0,use,nonuser,0.44155844155844154
16,North-East,0,use,future_user,0.07792207792207792
17,North-East,0,use,past_user,0.03896103896103896
18,North-East,0,region,North-East,1.0
19,North-East,0,_count,n,77.0
20,North-East,0,_count,weighted_n,163260.01253960613
21,North-East,1,age,mean,31.28767123287671
22,North-East,1,gender,Femme Nyɔnu,1.0
23,North-East,1,occupation,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,0.7818181818181819
24,North-East,1,occupation,Artisan/ Alɔnǔwǎtɔ́,0.16363636363636364
25,North-East,1,occupation,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",0.01818181818181818
26,North-East,1,religion,Islam / Islam,0.7397260273972602
27,North-East,1,religion,Christianisme/ Klisanwun,0.2602739726027397
